%              t      Ex(x=4.8m)     Ex(x=10.5m)      Ex(x=100m)      Ex(x=200m)      Ex(x=300m)
   1.6071429e-02   1.9544270e-08   1.9712218e-08   1.9667897e-08   1.9321338e-08   1.8818480e-08
   1.6964286e-02   1.8036451e-08   1.8183131e-08   1.8144616e-08   1.7841689e-08   1.7401273e-08
   1.7857143e-02   1.6709031e-08   1.6837972e-08   1.6804288e-08   1.6537831e-08   1.6149738e-08
   1.8750000e-02   1.5533838e-08   1.5647848e-08   1.5618229e-08   1.5382497e-08   1.5038563e-08
   1.9642857e-02   1.4487999e-08   1.4589362e-08   1.4563181e-08   1.4353519e-08   1.4047138e-08
   2.0535714e-02   1.3552808e-08   1.3643381e-08   1.3620129e-08   1.3432735e-08   1.3158481e-08
   2.1428571e-02   1.2712814e-08   1.2794124e-08   1.2773384e-08   1.2605134e-08   1.2358545e-08
   2.2321429e-02   1.1955207e-08   1.2028517e-08   1.2009940e-08   1.1858236e-08   1.1635616e-08
   2.3214286e-02   1.1269242e-08   1.1335619e-08   1.1318916e-08   1.1181600e-08   1.0979835e-08
   2.4107143e-02   1.0645926e-08   1.0706228e-08   1.0691170e-08   1.0566417e-08   1.0382900e-08
   2.5000000e-02   1.0077597e-08   1.0132594e-08   1.0118959e-08   1.0005245e-08   9.8377680e-09
   2.6785714e-02   9.1154146e-09   9.1620014e-09   9.1506264e-09   9.0544006e-09   8.9124189e-09
   2.8571429e-02   8.2933003e-09   8.3331428e-09   8.3235682e-09   8.2413842e-09   8.1199074e-09
   3.0357143e-02   7.5848877e-09   7.6192579e-09   7.6111362e-09   7.5403508e-09   7.4355540e-09
   3.2142857e-02   6.9697272e-09   6.9996112e-09   6.9926718e-09   6.9312375e-09   6.8401456e-09
   3.3928571e-02   6.4317770e-09   6.4579460e-09   6.4519772e-09   6.3982871e-09   6.3185633e-09
   3.5714286e-02   5.9583158e-09   5.9813789e-09   5.9762152e-09   5.9289940e-09   5.8587828e-09
   3.7500000e-02   5.5391569e-09   5.5596038e-09   5.5551122e-09   5.5133391e-09   5.4511479e-09
   3.9285714e-02   5.1660689e-09   5.1842941e-09   5.1803658e-09   5.1432139e-09   5.0878369e-09
   4.1071429e-02   4.8323379e-09   4.8486622e-09   4.8452124e-09   4.8120087e-09   4.7624579e-09
   4.2857143e-02   4.5324484e-09   4.5471373e-09   4.5440939e-09   4.5142838e-09   4.4697472e-09
   4.4642857e-02   4.2618329e-09   4.2751054e-09   4.2724097e-09   4.2455338e-09   4.2053391e-09
   4.6428571e-02   4.0166806e-09   4.0287209e-09   4.0263238e-09   4.0019998e-09   3.9655813e-09
   4.8214286e-02   3.7937948e-09   3.8047547e-09   3.8026174e-09   3.7805215e-09   3.7474072e-09
   5.0000000e-02   3.5904703e-09   3.6004818e-09   3.5985691e-09   3.5784302e-09   3.5482198e-09
   5.3571429e-02   3.2459844e-09   3.2544869e-09   3.2529240e-09   3.2358899e-09   3.2102916e-09
   5.7142857e-02   2.9515000e-09   2.9587866e-09   2.9575005e-09   2.9429590e-09   2.9210702e-09
   6.0714286e-02   2.6976898e-09   2.7039883e-09   2.7029209e-09   2.6904039e-09   2.6715309e-09
   6.4285714e-02   2.4773071e-09   2.4827923e-09   2.4819027e-09   2.4710450e-09   2.4546489e-09
   6.7857143e-02   2.2846513e-09   2.2894627e-09   2.2887163e-09   2.2792336e-09   2.2648918e-09
   7.1428571e-02   2.1151893e-09   2.1194368e-09   2.1188091e-09   2.1104742e-09   2.0978495e-09
   7.5000000e-02   1.9652804e-09   1.9690527e-09   1.9685224e-09   1.9611532e-09   1.9499769e-09
   7.8571429e-02   1.8319728e-09   1.8353413e-09   1.8348929e-09   1.8283433e-09   1.8183948e-09
   8.2142857e-02   1.7128524e-09   1.7158763e-09   1.7154966e-09   1.7096464e-09   1.7007479e-09
   8.5714286e-02   1.6059310e-09   1.6086588e-09   1.6083374e-09   1.6030868e-09   1.5950918e-09
   8.9285714e-02   1.5095564e-09   1.5120287e-09   1.5117564e-09   1.5070253e-09   1.4998101e-09
   9.2857143e-02   1.4223512e-09   1.4246017e-09   1.4243706e-09   1.4200907e-09   1.4135549e-09
   9.6428571e-02   1.3431548e-09   1.3452110e-09   1.3450161e-09   1.3411294e-09   1.3351874e-09
   1.0000000e-01   1.2709864e-09   1.2728715e-09   1.2727085e-09   1.2691669e-09   1.2637470e-09
   1.0714286e-01   1.1489207e-09   1.1505341e-09   1.1504202e-09   1.1474253e-09   1.1428326e-09
